from,to
wodi,va
wipo,mb
bega,va
haje,kae
heoh,va
frre,mbb
besu,va
sthe,vv
thhi,vv
joroe,vv
olsc,vv
vfb,va
vfb,vv
vfb,mbb
vfb,mb
vfb,kae
vfb,kr
vfb,ja
wipo,va
haje,va
frre,va
